,,,GCA Types
,,,Drib
league,season,team,
ENG-Premier League,2122,Arsenal,3
ENG-Premier League,2122,Aston Villa,9
ENG-Premier League,2122,Brentford,5
ENG-Premier League,2122,Brighton,3
ENG-Premier League,2122,Burnley,5
ENG-Premier League,2122,Chelsea,8
ENG-Premier League,2122,Crystal Palace,7
ENG-Premier League,2122,Everton,4
ENG-Premier League,2122,Leeds United,10
ENG-Premier League,2122,Leicester City,4
ENG-Premier League,2122,Liverpool,10
ENG-Premier League,2122,Manchester City,6
ENG-Premier League,2122,Manchester Utd,6
ENG-Premier League,2122,Newcastle Utd,5
ENG-Premier League,2122,Norwich City,1
ENG-Premier League,2122,Southampton,6
ENG-Premier League,2122,Tottenham,4
ENG-Premier League,2122,Watford,4
ENG-Premier League,2122,West Ham,5
ENG-Premier League,2122,Wolves,5
ESP-La Liga,2122,Alavés,4
ESP-La Liga,2122,Athletic Club,1
ESP-La Liga,2122,Atlético Madrid,5
ESP-La Liga,2122,Barcelona,7
ESP-La Liga,2122,Betis,10
ESP-La Liga,2122,Celta Vigo,3
ESP-La Liga,2122,Cádiz,3
ESP-La Liga,2122,Elche,7
ESP-La Liga,2122,Espanyol,4
ESP-La Liga,2122,Getafe,3
ESP-La Liga,2122,Granada,3
ESP-La Liga,2122,Levante,4
ESP-La Liga,2122,Mallorca,4
ESP-La Liga,2122,Osasuna,0
ESP-La Liga,2122,Rayo Vallecano,7
ESP-La Liga,2122,Real Madrid,13
ESP-La Liga,2122,Real Sociedad,6
ESP-La Liga,2122,Sevilla,8
ESP-La Liga,2122,Valencia,7
ESP-La Liga,2122,Villarreal,11
FRA-Ligue 1,2122,Angers,6
FRA-Ligue 1,2122,Bordeaux,8
FRA-Ligue 1,2122,Brest,7
FRA-Ligue 1,2122,Clermont Foot,5
FRA-Ligue 1,2122,Lens,6
FRA-Ligue 1,2122,Lille,7
FRA-Ligue 1,2122,Lorient,8
FRA-Ligue 1,2122,Lyon,5
FRA-Ligue 1,2122,Marseille,5
FRA-Ligue 1,2122,Metz,3
FRA-Ligue 1,2122,Monaco,4
FRA-Ligue 1,2122,Montpellier,6
FRA-Ligue 1,2122,Nantes,6
FRA-Ligue 1,2122,Nice,4
FRA-Ligue 1,2122,Paris S-G,18
FRA-Ligue 1,2122,Reims,4
FRA-Ligue 1,2122,Rennes,6
FRA-Ligue 1,2122,Saint-Étienne,5
FRA-Ligue 1,2122,Strasbourg,5
FRA-Ligue 1,2122,Troyes,2
GER-Bundesliga,2122,Arminia,1
GER-Bundesliga,2122,Augsburg,2
GER-Bundesliga,2122,Bayern Munich,9
GER-Bundesliga,2122,Bochum,4
GER-Bundesliga,2122,Dortmund,12
GER-Bundesliga,2122,Eint Frankfurt,4
GER-Bundesliga,2122,Freiburg,2
GER-Bundesliga,2122,Greuther Fürth,4
GER-Bundesliga,2122,Hertha BSC,1
GER-Bundesliga,2122,Hoffenheim,5
GER-Bundesliga,2122,Köln,5
GER-Bundesliga,2122,Leverkusen,13
GER-Bundesliga,2122,M'Gladbach,4
GER-Bundesliga,2122,Mainz 05,3
GER-Bundesliga,2122,RB Leipzig,10
GER-Bundesliga,2122,Stuttgart,5
GER-Bundesliga,2122,Union Berlin,6
GER-Bundesliga,2122,Wolfsburg,3
ITA-Serie A,2122,Atalanta,8
ITA-Serie A,2122,Bologna,2
ITA-Serie A,2122,Cagliari,2
ITA-Serie A,2122,Empoli,5
ITA-Serie A,2122,Fiorentina,3
ITA-Serie A,2122,Genoa,5
ITA-Serie A,2122,Hellas Verona,5
ITA-Serie A,2122,Inter,4
ITA-Serie A,2122,Juventus,9
ITA-Serie A,2122,Lazio,12
ITA-Serie A,2122,Milan,7
ITA-Serie A,2122,Napoli,3
ITA-Serie A,2122,Roma,9
ITA-Serie A,2122,Salernitana,3
ITA-Serie A,2122,Sampdoria,3
ITA-Serie A,2122,Sassuolo,10
ITA-Serie A,2122,Spezia,3
ITA-Serie A,2122,Torino,6
ITA-Serie A,2122,Udinese,8
ITA-Serie A,2122,Venezia,1
